date,state,confirmed,deaths
2020-05-13,AC,1694,52
2020-05-13,GO,1225,61
2020-05-13,SP,51097,4118
2020-05-12,AL,2580,150
2020-05-12,AM,14168,1098
2020-05-12,AP,2910,86
2020-05-12,BA,6204,225
2020-05-12,CE,18412,1280
2020-05-12,DF,2979,46
2020-05-12,ES,5087,212
2020-05-12,MA,9112,444
2020-05-12,MG,3435,127
2020-05-12,MS,405,12
2020-05-12,MT,604,20
2020-05-12,PA,9059,914
2020-05-12,PB,2777,154
2020-05-12,PE,14309,1157
2020-05-12,PI,1612,57
2020-05-12,PR,1930,116
2020-05-12,RJ,18486,1928
2020-05-12,RO,1460,50
2020-05-12,RS,2917,111
2020-05-12,SC,3733,73
2020-05-12,SE,2032,37
2020-05-11,RN,1989,92
2020-05-11,RR,1295,24
2020-05-11,TO,828,14
