z,c
1100015,772
1100023,5290
1100031,101
1100049,2265
1100056,248
1100064,183
1100072,41
1100080,290
1100098,554
1100106,2945
1100114,1776
1100122,2739
1100130,1313
1100148,325
1100155,937
1100189,664
1100205,29550
1100254,469
1100262,125
1100288,1533
1100296,146
1100304,3559
1100320,884
1100338,1104
1100346,126
1100379,203
1100403,368
1100452,698
1100502,63
1100601,82
1100700,151
1100809,1401
1100908,73
1100924,687
1100940,335
1101005,97
1101104,358
1101203,35
1101302,120
1101401,269
1101435,187
1101450,21
1101468,182
1101476,20
1101484,79
1101492,251
1101500,130
1101559,35
1101609,112
1101708,178
1101757,148
1101807,84
1200013,461
1200054,592
1200104,1159
1200138,373
1200179,249
1200203,3439
1200252,503
1200302,1238
1200328,196
1200336,935
1200344,293
1200351,485
1200385,410
1200393,315
1200401,10456
1200427,149
1200435,339
1200450,525
1200500,1542
1200609,2083
1200708,1145
1200807,510
1300029,1219
1300060,698
1300086,759
1300102,769
1300144,213
1300201,990
1300300,1302
1300409,2620
1300508,966
1300607,1578
1300631,813
1300680,363
1300706,1297
1300805,710
1300839,312
1300904,404
1301001,1919
1301100,1515
1301159,192
1301209,7027
1301308,257
1301407,2281
1301506,545
1301605,800
1301654,930
1301704,3279
1301803,1855
1301852,1962
1301902,2121
1301951,570
1302009,878
1302108,445
1302207,510
1302306,369
1302405,2690
1302504,3891
1302553,491
1302603,48753
1302702,1418
1302801,512
1302900,1601
1303007,828
1303106,962
1303205,471
1303304,692
1303403,4799
1303502,1345
1303536,2110
1303569,1440
1303601,2095
1303700,1220
1303809,4279
1303908,1714
1303957,611
1304005,433
1304062,1842
1304104,971
1304203,3637
1304237,612
1304260,698
1304302,692
1304401,1014
1400027,364
1400050,611
1400100,35998
1400159,766
1400175,1035
1400209,1110
1400233,979
1400282,304
1400308,1172
1400407,339
1400456,1511
1400472,1617
1400506,810
1400605,218
1400704,783
1500107,3186
1500131,359
1500206,781
1500305,2161
1500347,651
1500404,1364
1500503,257
1500602,4171
1500701,563
1500800,7392
1500859,965
1500909,1294
1500958,631
1501006,432
1501105,382
1501204,378
1501253,112
1501303,4417
1501402,36402
1501451,420
1501501,1522
1501576,384
1501600,259
1501709,2323
1501725,732
1501758,473
1501782,301
1501808,2466
1501907,640
1501956,502
1502004,283
1502103,4787
1502152,3861
1502202,1271
1502301,848
1502400,2269
1502509,179
1502608,91
1502707,1489
1502756,1220
1502764,466
1502772,1345
1502806,418
1502855,532
1502905,1709
1502939,981
1502954,294
1503002,407
1503044,302
1503077,727
1503093,177
1503101,1386
1503200,769
1503309,1237
1503408,75
1503457,627
1503507,613
1503606,5842
1503705,533
1503754,1371
1503804,839
1503903,1872
1504000,867
1504059,576
1504109,177
1504208,7857
1504307,191
1504406,619
1504422,1081
1504455,1778
1504505,363
1504604,1333
1504703,1268
1504752,447
1504802,1441
1504901,364
1504950,912
1504976,305
1505007,440
1505031,849
1505064,358
1505106,2262
1505205,567
1505304,4143
1505403,362
1505437,2860
1505486,887
1505494,334
1505502,3150
1505536,23836
1505551,258
1505601,184
1505635,199
1505650,448
1505700,915
1505809,1748
1505908,935
1506005,525
1506104,354
1506112,399
1506138,3738
1506161,962
1506187,516
1506195,1199
1506203,544
1506302,492
1506351,328
1506401,145
1506500,574
1506559,913
1506583,332
1506609,413
1506708,1378
1506807,9554
1506906,246
1507003,375
1507102,514
1507151,997
1507201,277
1507300,1975
1507409,142
1507458,522
1507466,47
1507474,213
1507508,31
1507607,1357
1507706,395
1507755,214
1507805,573
1507904,405
1507953,2162
1507961,290
1507979,399
1508001,991
1508035,548
1508050,315
1508084,2495
1508100,1806
1508126,812
1508159,1116
1508209,474
1508308,1088
1508357,984
1508407,2441
1600055,667
1600105,773
1600154,2638
1600204,1158
1600212,605
1600238,553
1600253,295
1600279,4633
1600303,18323
1600402,1497
1600501,2694
1600535,1189
1600550,351
1600600,8354
1600709,1127
1600808,2659
1700251,70
1700301,409
1700350,138
1700400,79
1700707,507
1701002,274
1701051,65
1701101,44
1701309,191
1701903,51
1702000,434
1702109,14764
1702158,168
1702208,860
1702307,98
1702406,112
1702554,637
1702703,32
1702901,340
1703008,226
1703057,46
1703073,50
1703107,111
1703206,39
1703305,77
1703602,51
1703701,75
1703800,222
1703826,24
1703842,268
1703867,183
1703883,70
1703891,225
1703909,52
1704105,98
1704600,36
1705102,53
1705508,2445
1705557,119
1705607,17
1706001,92
1706100,50
1706258,43
1706506,384
1707009,366
1707108,207
1707207,41
1707306,103
1707405,288
1707553,175
1707652,138
1707702,175
1708205,1142
1708254,148
1708304,93
1709005,465
1709302,944
1709500,3213
1709807,28
1710508,384
1710706,134
1710904,146
1711100,107
1711506,48
1711803,43
1711902,492
1711951,58
1712009,53
1712157,32
1712405,62
1712454,127
1712504,80
1712702,14
1712801,44
1713205,592
1713304,568
1713601,70
1713700,35
1713809,303
1713957,70
1714203,169
1714302,188
1714880,387
1715002,124
1715101,20
1715150,4
1715259,24
1715507,49
1715705,177
1715754,120
1716109,2155
1716208,141
1716307,151
1716505,567
1716604,109
1716653,171
1716703,220
1717008,39
1717206,41
1717503,169
1717800,16
1717909,155
1718006,4
1718204,2420
1718303,154
1718402,73
1718451,22
1718501,76
1718550,132
1718659,41
1718709,131
1718758,149
1718808,317
1718840,40
1718865,277
1718881,26
1718899,37
1718907,43
1719004,122
1720002,80
1720101,327
1720150,30
1720200,314
1720259,23
1720309,273
1720499,20
1720655,131
1720804,242
1720853,57
1720903,71
1720937,18
1720978,89
1721000,15544
1721109,387
1721208,829
1721257,70
1721307,15
1722081,296
1722107,880
2100055,3321
2100105,152
2100154,648
2100204,198
2100303,916
2100402,273
2100436,360
2100477,1452
2100501,285
2100550,3
2100600,1039
2100709,337
2100808,710
2100832,197
2100873,535
2100907,582
2100956,923
2101004,204
2101103,138
2101202,3315
2101251,152
2101301,416
2101350,52
2101400,6174
2101509,18
2101608,3788
2101707,914
2101731,252
2101772,127
2101806,183
2101905,234
2101939,78
2101970,13
2102002,911
2102036,1629
2102077,285
2102101,685
2102150,204
2102200,616
2102309,418
2102325,2314
2102358,236
2102374,173
2102408,5
2102507,131
2102556,473
2102606,90
2102705,381
2102754,368
2102804,386
2102903,358
2103000,4421
2103109,148
2103125,28
2103158,349
2103174,627
2103208,2732
2103257,322
2103307,1812
2103406,1573
2103505,1715
2103554,165
2103604,1641
2103703,532
2103752,265
2103802,384
2103901,424
2104008,624
2104057,2736
2104073,686
2104081,745
2104099,707
2104107,614
2104206,647
2104305,86
2104404,377
2104503,262
2104552,327
2104602,200
2104628,134
2104651,485
2104677,693
2104701,118
2104800,2652
2104909,218
2105005,772
2105104,215
2105153,268
2105203,1045
2105302,6055
2105351,508
2105401,830
2105427,598
2105450,82
2105476,845
2105500,280
2105609,431
2105658,195
2105708,1248
2105807,233
2105906,503
2105922,10
2105948,399
2105963,111
2105989,175
2106003,711
2106102,386
2106201,185
2106300,400
2106326,507
2106359,162
2106375,429
2106409,345
2106508,262
2106607,426
2106631,231
2106672,187
2106706,709
2106755,141
2106805,133
2106904,749
2107001,441
2107100,142
2107209,242
2107258,106
2107308,27
2107357,278
2107407,517
2107456,193
2107506,641
2107605,31
2107704,396
2107803,576
2107902,582
2108009,465
2108058,161
2108108,856
2108207,1624
2108256,88
2108306,223
2108405,160
2108454,350
2108504,596
2108603,2045
2108702,879
2108801,249
2108900,1043
2109007,848
2109056,104
2109106,1388
2109205,29
2109239,259
2109270,169
2109304,59
2109403,44
2109452,144
2109502,610
2109551,163
2109601,379
2109700,287
2109759,47
2109809,1404
2109908,4354
2110005,2559
2110039,518
2110104,447
2110203,279
2110237,167
2110278,106
2110302,717
2110401,978
2110500,491
2110609,846
2110658,156
2110708,1501
2110807,187
2110856,345
2110906,107
2111003,132
2111029,407
2111052,128
2111078,579
2111102,1233
2111201,1285
2111250,308
2111300,20308
2111409,634
2111508,1155
2111532,464
2111573,212
2111607,1619
2111631,75
2111672,250
2111706,206
2111722,128
2111748,370
2111763,212
2111789,196
2111805,1007
2111904,137
2111953,115
2112001,273
2112100,352
2112209,4203
2112233,610
2112274,117
2112308,1377
2112407,248
2112456,316
2112506,1027
2112605,1652
2112704,751
2112803,282
2112852,302
2112902,676
2113009,1545
2114007,3552
2200053,38
2200103,61
2200202,949
2200251,97
2200277,161
2200301,159
2200400,1436
2200459,43
2200509,360
2200608,108
2200707,96
2200806,215
2200905,63
2200954,75
2201002,23
2201051,129
2201101,30
2201150,1191
2201176,12
2201200,2551
2201309,27
2201408,419
2201507,411
2201556,39
2201572,97
2201606,257
2201705,339
2201739,29
2201770,97
2201804,128
2201903,1291
2201919,41
2201929,69
2201945,139
2201960,116
2201988,13
2202000,739
2202026,40
2202059,219
2202075,10
2202083,303
2202091,126
2202109,38
2202117,14
2202133,112
2202174,220
2202208,2295
2202251,12
2202307,319
2202406,182
2202455,20
2202505,167
2202539,160
2202554,37
2202604,137
2202653,106
2202703,686
2202711,83
2202729,172
2202737,109
2202752,48
2202778,56
2202802,19
2202851,26
2202901,365
2203008,16
2203107,110
2203206,176
2203230,151
2203255,166
2203271,53
2203305,1036
2203354,101
2203404,89
2203420,15
2203453,69
2203503,300
2203602,21
2203701,1013
2203750,32
2203800,33
2203859,59
2203909,2493
2204006,34
2204105,26
2204154,124
2204204,64
2204303,157
2204352,81
2204402,149
2204501,86
2204550,14
2204600,292
2204659,254
2204709,198
2204808,156
2204907,114
2205003,57
2205102,32
2205151,11
2205201,103
2205250,15
2205276,47
2205300,114
2205359,23
2205409,746
2205458,327
2205508,1190
2205516,81
2205524,12
2205532,20
2205540,149
2205557,203
2205565,348
2205573,60
2205581,285
2205599,38
2205607,24
2205706,353
2205805,1573
2205854,366
2205904,120
2205953,316
2206001,67
2206050,6
2206100,352
2206209,1041
2206308,31
2206357,15
2206407,505
2206506,154
2206605,228
2206654,20
2206670,360
2206696,73
2206704,74
2206720,122
2206753,47
2206803,482
2206902,62
2206951,67
2207009,1383
2207108,93
2207207,96
2207306,21
2207355,6
2207405,77
2207504,196
2207553,46
2207603,67
2207702,6673
2207751,178
2207777,47
2207793,102
2207801,99
2207850,67
2207900,396
2207934,13
2207959,29
2208007,3218
2208106,201
2208205,172
2208304,478
2208403,2285
2208502,482
2208551,130
2208601,24
2208650,185
2208700,126
2208809,162
2208858,1
2208874,8
2208908,344
2209005,84
2209104,569
2209153,29
2209203,36
2209302,97
2209351,18
2209377,36
2209401,13
2209450,58
2209500,78
2209559,14
2209609,26
2209658,16
2209708,21
2209757,22
2209807,88
2209856,61
2209872,100
2209906,130
2209955,43
2209971,268
2210003,258
2210052,50
2210102,20
2210201,38
2210300,101
2210359,5
2210375,31
2210383,8
2210391,2
2210409,172
2210508,394
2210607,1194
2210623,4
2210631,139
2210656,122
2210706,225
2210805,165
2210904,25
2210938,180
2210953,12
2210979,10
2211001,30795
2211100,881
2211209,1595
2211308,645
2211357,30
2211407,39
2211506,20
2211605,55
2211704,244
2300101,74
2300150,1709
2300200,2678
2300309,865
2300408,35
2300507,483
2300606,26
2300705,434
2300754,807
2300804,45
2300903,234
2301000,1004
2301109,1784
2301208,770
2301257,103
2301307,201
2301406,240
2301505,45
2301604,334
2301703,377
2301802,96
2301851,552
2301901,1963
2301950,323
2302008,224
2302057,767
2302107,576
2302206,795
2302305,1203
2302404,1042
2302503,1587
2302602,2344
2302701,366
2302800,1924
2302909,708
2303006,318
2303105,788
2303204,703
2303303,499
2303402,584
2303501,1544
2303600,230
2303659,340
2303709,5734
2303808,466
2303907,799
2303931,324
2303956,518
2304004,1248
2304103,4420
2304202,6263
2304236,208
2304251,862
2304269,183
2304277,260
2304285,1802
2304301,1090
2304350,740
2304400,48788
2304459,158
2304509,1487
2304608,134
2304657,547
2304707,1266
2304806,80
2304905,724
2304954,283
2305001,724
2305100,122
2305209,300
2305233,1750
2305266,135
2305308,763
2305332,471
2305357,517
2305407,1175
2305506,3237
2305605,274
