date,z,c,d
2020-09-24,1100015,772,10
2020-09-24,1100023,5290,88
2020-09-24,1100031,101,5
2020-09-24,1100049,2265,32
2020-09-24,1100056,248,6
2020-09-24,1100064,183,3
2020-09-24,1100072,41,3
2020-09-24,1100080,290,6
2020-09-24,1100098,554,10
2020-09-24,1100106,2945,87
2020-09-24,1100114,1776,24
2020-09-24,1100122,2739,70
2020-09-24,1100130,1313,7
2020-09-24,1100148,325,3
2020-09-24,1100155,937,23
2020-09-24,1100189,664,12
2020-09-24,1100205,29550,706
2020-09-24,1100254,469,9
2020-09-24,1100262,125,0
2020-09-24,1100288,1533,18
2020-09-24,1100296,146,1
2020-09-24,1100304,3559,57
2020-09-24,1100320,884,16
2020-09-24,1100338,1104,7
2020-09-24,1100346,126,7
2020-09-24,1100379,203,9
2020-09-24,1100403,368,8
2020-09-24,1100452,698,8
2020-09-24,1100502,63,1
2020-09-24,1100601,82,0
2020-09-24,1100700,151,5
2020-09-24,1100809,1401,27
2020-09-24,1100908,73,1
2020-09-24,1100924,687,5
2020-09-24,1100940,335,7
2020-09-24,1101005,97,2
2020-09-24,1101104,358,8
2020-09-24,1101203,35,1
2020-09-24,1101302,120,3
2020-09-24,1101401,269,4
2020-09-24,1101435,187,2
2020-09-24,1101450,21,1
2020-09-24,1101468,182,6
2020-09-24,1101476,20,1
2020-09-24,1101484,79,1
2020-09-24,1101492,251,3
2020-09-24,1101500,130,0
2020-09-24,1101559,35,1
2020-09-24,1101609,112,0
2020-09-24,1101708,178,3
2020-09-24,1101757,148,1
2020-09-24,1101807,84,2
2020-09-24,1200013,461,9
2020-09-24,1200054,592,9
2020-09-24,1200104,1159,20
2020-09-24,1200138,373,7
2020-09-24,1200179,249,7
2020-09-24,1200203,3439,59
2020-09-24,1200252,503,14
2020-09-24,1200302,1238,19
2020-09-24,1200328,196,1
2020-09-24,1200336,935,12
2020-09-24,1200344,293,2
2020-09-24,1200351,485,1
2020-09-24,1200385,410,8
2020-09-24,1200393,315,2
2020-09-24,1200401,10456,405
2020-09-24,1200427,149,7
2020-09-24,1200435,339,2
2020-09-24,1200450,525,13
2020-09-24,1200500,1542,13
2020-09-24,1200609,2083,14
2020-09-24,1200708,1145,13
2020-09-24,1200807,510,15
2020-09-24,1300029,1219,14
2020-09-24,1300060,698,10
2020-09-24,1300086,759,1
2020-09-24,1300102,769,11
2020-09-24,1300144,213,1
2020-09-24,1300201,990,4
2020-09-24,1300300,1302,36
2020-09-24,1300409,2620,25
2020-09-24,1300508,966,12
2020-09-24,1300607,1578,40
2020-09-24,1300631,813,10
2020-09-24,1300680,363,2
2020-09-24,1300706,1297,13
2020-09-24,1300805,710,23
2020-09-24,1300839,312,7
2020-09-24,1300904,404,0
2020-09-24,1301001,1919,16
2020-09-24,1301100,1515,19
2020-09-24,1301159,192,4
2020-09-24,1301209,7027,107
2020-09-24,1301308,257,4
2020-09-24,1301407,2281,10
2020-09-24,1301506,545,2
2020-09-24,1301605,800,19
2020-09-24,1301654,930,14
2020-09-24,1301704,3279,76
2020-09-24,1301803,1855,6
2020-09-24,1301852,1962,56
2020-09-24,1301902,2121,70
2020-09-24,1301951,570,6
2020-09-24,1302009,878,8
2020-09-24,1302108,445,1
2020-09-24,1302207,510,7
2020-09-24,1302306,369,16
2020-09-24,1302405,2690,37
2020-09-24,1302504,3891,155
2020-09-24,1302553,491,20
2020-09-24,1302603,48753,2481
2020-09-24,1302702,1418,34
2020-09-24,1302801,512,4
2020-09-24,1302900,1601,34
2020-09-24,1303007,828,13
2020-09-24,1303106,962,24
2020-09-24,1303205,471,7
2020-09-24,1303304,692,12
2020-09-24,1303403,4799,128
2020-09-24,1303502,1345,4
2020-09-24,1303536,2110,25
2020-09-24,1303569,1440,20
2020-09-24,1303601,2095,16
2020-09-24,1303700,1220,25
2020-09-24,1303809,4279,56
2020-09-24,1303908,1714,25
2020-09-24,1303957,611,6
2020-09-24,1304005,433,5
2020-09-24,1304062,1842,81
2020-09-24,1304104,971,5
2020-09-24,1304203,3637,85
2020-09-24,1304237,612,15
2020-09-24,1304260,698,11
2020-09-24,1304302,692,7
2020-09-24,1304401,1014,7
2020-09-24,1400027,364,9
2020-09-24,1400050,611,14
2020-09-24,1400100,35998,478
2020-09-24,1400159,766,11
2020-09-24,1400175,1035,9
2020-09-24,1400209,1110,9
2020-09-24,1400233,979,6
2020-09-24,1400282,304,4
2020-09-24,1400308,1172,13
2020-09-24,1400407,339,9
2020-09-24,1400456,1511,26
2020-09-24,1400472,1617,20
2020-09-24,1400506,810,3
2020-09-24,1400605,218,3
2020-09-24,1400704,783,2
2020-09-24,1500107,3186,115
2020-09-24,1500131,359,1
2020-09-24,1500206,781,14
2020-09-24,1500305,2161,11
2020-09-24,1500347,651,0
2020-09-24,1500404,1364,30
2020-09-24,1500503,257,18
2020-09-24,1500602,4171,117
2020-09-24,1500701,563,12
2020-09-24,1500800,7392,364
2020-09-24,1500859,965,22
2020-09-24,1500909,1294,20
2020-09-24,1500958,631,7
2020-09-24,1501006,432,5
2020-09-24,1501105,382,10
2020-09-24,1501204,378,14
2020-09-24,1501253,112,2
2020-09-24,1501303,4417,110
2020-09-24,1501402,36402,2170
2020-09-24,1501451,420,14
2020-09-24,1501501,1522,51
2020-09-24,1501576,384,3
2020-09-24,1501600,259,8
2020-09-24,1501709,2323,93
2020-09-24,1501725,732,16
2020-09-24,1501758,473,2
2020-09-24,1501782,301,21
2020-09-24,1501808,2466,87
2020-09-24,1501907,640,23
2020-09-24,1501956,502,3
2020-09-24,1502004,283,12
2020-09-24,1502103,4787,96
2020-09-24,1502152,3861,45
2020-09-24,1502202,1271,63
2020-09-24,1502301,848,39
2020-09-24,1502400,2269,182
2020-09-24,1502509,179,1
2020-09-24,1502608,91,10
2020-09-24,1502707,1489,17
2020-09-24,1502756,1220,14
2020-09-24,1502764,466,5
2020-09-24,1502772,1345,18
2020-09-24,1502806,418,15
2020-09-24,1502855,532,4
2020-09-24,1502905,1709,57
2020-09-24,1502939,981,11
2020-09-24,1502954,294,8
2020-09-24,1503002,407,0
2020-09-24,1503044,302,3
2020-09-24,1503077,727,6
2020-09-24,1503093,177,13
2020-09-24,1503101,1386,10
2020-09-24,1503200,769,27
2020-09-24,1503309,1237,42
2020-09-24,1503408,75,5
2020-09-24,1503457,627,19
2020-09-24,1503507,613,10
2020-09-24,1503606,5842,97
2020-09-24,1503705,533,25
2020-09-24,1503754,1371,14
2020-09-24,1503804,839,21
2020-09-24,1503903,1872,72
2020-09-24,1504000,867,27
2020-09-24,1504059,576,27
2020-09-24,1504109,177,11
2020-09-24,1504208,7857,191
2020-09-24,1504307,191,15
2020-09-24,1504406,619,20
2020-09-24,1504422,1081,72
2020-09-24,1504455,1778,16
2020-09-24,1504505,363,11
2020-09-24,1504604,1333,25
2020-09-24,1504703,1268,35
2020-09-24,1504752,447,13
2020-09-24,1504802,1441,26
2020-09-24,1504901,364,18
2020-09-24,1504950,912,6
