z,c
4100103,52
4100202,54
4100301,33
4100400,269
4100459,1
4100509,16
4100608,15
4100707,18
4100806,10
4100905,20
4101002,7
4101051,16
4101101,50
4101150,1
4101200,41
4101309,9
4101408,176
4101507,278
4101606,82
4101655,6
4101705,46
4101804,660
4101903,27
4102000,121
4102109,28
4102208,2
4102307,85
4102406,39
4102505,18
4102604,20
4102703,1
4102802,26
4102901,28
4103008,12
4103057,35
4103107,24
4103156,4
4103206,3
4103305,0
4103354,32
4103370,6
4103404,8
4103453,51
4103479,3
4103503,22
4103602,48
4103701,182
4103800,1
4103909,4
4104006,200
4104055,30
4104105,15
4104204,626
4104253,66
4104303,273
4104402,10
4104428,13
4104451,26
4104501,30
4104600,35
4104659,91
4104709,48
4104808,3430
4104907,108
4105003,44
4105102,11
4105201,30
4105300,82
4105409,16
4105508,583
4105607,73
4105706,114
4105805,576
4105904,64
4106001,18
4106100,29
4106209,51
4106308,62
4106407,267
4106456,165
4106506,7
4106555,24
4106571,9
4106605,35
4106704,8
4106803,10
4106852,9
4106902,6692
4107009,19
4107108,4
4107124,21
4107157,48
4107207,16
4107256,11
4107306,12
4107405,8
4107504,9
4107538,4
4107546,5
4107553,2
4107603,14
4107652,441
4107702,1
4107736,4
4107751,9
4107801,2
4107900,11
4108007,21
4108106,1
4108205,4
4108304,602
4108320,32
4108403,157
4108452,31
4108502,14
4108601,41
4108650,7
4108809,43
4108908,16
4108957,6
4109005,37
4109104,16
4109203,11
4109302,53
4109401,227
4109500,1
4109609,82
4109658,1
4109708,34
4109757,53
4109807,73
4109906,2
4110003,5
4110052,5
4110078,40
4110102,74
4110201,8
4110300,2
4110409,28
4110508,1
4110607,13
4110656,2
4110706,52
4110805,16
4110904,13
4110953,68
4111001,5
4111100,28
4111209,4
4111258,116
4111308,2
4111407,10
4111506,102
4111555,1
4111605,1
4111704,13
4111803,73
4111902,18
4112009,84
4112108,24
4112207,13
4112306,13
4112405,31
4112504,24
4112603,3
4112702,34
4112751,57
4112801,47
4112900,21
4112959,9
4113007,59
4113106,6
4113205,56
4113304,51
4113403,15
4113429,13
4113452,10
4113502,20
4113601,1
4113700,1773
4113734,6
4113759,8
4113809,7
4113908,8
4114005,23
4114104,31
4114203,39
4114302,67
4114351,6
4114401,11
4114500,10
4114609,159
4114708,18
4114807,26
4114906,11
4115002,13
4115101,14
4115200,1431
4115309,33
4115358,5
4115408,52
4115457,5
4115507,5
4115606,217
4115705,55
4115754,10
4115804,364
4115853,6
4115903,17
4116059,70
4116109,33
4116208,101
4116307,9
4116406,3
4116505,1
4116604,4
4116703,16
4116802,2
4116901,21
4116950,6
4117008,17
4117057,6
4117107,31
4117206,22
4117222,2
4117255,1
4117271,3
4117297,2
4117305,11
4117404,2
4117453,33
4117503,70
4117602,42
4117701,26
4117800,3
4117909,116
4118006,19
4118105,9
4118204,725
4118303,8
4118402,222
4118451,5
4118501,200
4118600,14
4118709,9
4118808,22
4118857,4
4118907,6
4119004,5
4119103,5
4119152,679
4119202,3
4119251,1
4119301,70
4119400,27
4119509,431
4119608,63
4119707,14
4119806,16
4119905,484
4119954,112
4120002,10
4120101,7
4120150,6
4120309,1
4120333,14
4120358,2
4120408,7
4120507,12
4120606,34
4120655,10
4120705,17
4120804,142
4120853,5
4120903,36
4121000,15
4121109,3
4121208,80
4121257,84
4121307,7
4121356,2
4121406,9
4121505,5
4121604,10
4121703,22
4121752,19
4121802,1
4121901,49
4122008,2
4122156,16
4122172,1
4122206,105
4122305,45
4122404,103
4122503,10
4122602,53
4122701,6
4122800,9
4122909,12
4123006,8
4123105,3
4123204,5
4123303,7
4123402,19
4123501,157
4123600,15
4123709,16
4123808,2
4123824,14
4123907,64
4123956,9
4124004,11
4124020,62
4124053,132
4124103,104
4124202,24
4124301,1
4124400,3
4124509,34
4124707,1
4124806,2
4124905,37
4125001,58
4125100,2
4125209,1
4125308,2
4125357,8
4125407,16
4125456,17
4125506,680
4125555,9
4125605,37
4125704,163
4125753,55
4125803,7
4126009,36
4126108,69
4126207,27
4126256,137
4126272,6
4126306,31
4126355,40
4126405,12
4126504,32
4126603,38
4126652,2
4126678,3
4126702,32
4126801,111
4126900,3
4127007,7
4127106,154
4127205,60
4127304,34
4127403,22
4127502,7
4127601,63
4127700,1049
4127809,20
4127858,56
4127908,71
4127957,53
4127965,2
4128005,8
4128104,282
4128203,92
4128302,1
4128401,27
4128500,36
4128559,125
4128609,7
4128625,1
4128658,13
4128708,11
4128807,1
