date,z,c,d
2020-09-24,4100103,69,0
2020-09-24,4100202,173,4
2020-09-24,4100301,77,0
2020-09-24,4100400,1581,51
2020-09-24,4100459,13,1
2020-09-24,4100509,182,2
2020-09-24,4100608,89,1
2020-09-24,4100707,114,4
2020-09-24,4100806,56,4
2020-09-24,4100905,26,0
2020-09-24,4101002,98,3
2020-09-24,4101051,28,0
2020-09-24,4101101,238,4
2020-09-24,4101150,51,1
2020-09-24,4101200,348,7
2020-09-24,4101309,73,1
2020-09-24,4101408,776,33
2020-09-24,4101507,2603,89
2020-09-24,4101606,218,1
2020-09-24,4101655,41,1
2020-09-24,4101705,181,7
2020-09-24,4101804,3711,58
2020-09-24,4101853,20,1
2020-09-24,4101903,263,11
2020-09-24,4102000,464,6
2020-09-24,4102109,394,6
2020-09-24,4102208,85,1
2020-09-24,4102307,212,5
2020-09-24,4102406,755,19
2020-09-24,4102505,153,4
2020-09-24,4102604,81,2
2020-09-24,4102703,15,0
2020-09-24,4102752,18,0
2020-09-24,4102802,160,4
2020-09-24,4102901,41,1
2020-09-24,4103008,35,0
2020-09-24,4103024,37,0
2020-09-24,4103040,3,0
2020-09-24,4103057,128,3
2020-09-24,4103107,205,2
2020-09-24,4103156,14,1
2020-09-24,4103206,101,1
2020-09-24,4103222,12,0
2020-09-24,4103305,57,1
2020-09-24,4103354,54,2
2020-09-24,4103370,34,0
2020-09-24,4103404,51,0
2020-09-24,4103453,228,1
2020-09-24,4103479,28,0
2020-09-24,4103503,80,2
2020-09-24,4103602,260,4
2020-09-24,4103701,1715,29
2020-09-24,4103800,75,2
2020-09-24,4103909,39,2
2020-09-24,4103958,5,1
2020-09-24,4104006,916,21
2020-09-24,4104055,51,0
2020-09-24,4104105,71,3
2020-09-24,4104204,2853,72
2020-09-24,4104253,500,11
2020-09-24,4104303,969,37
2020-09-24,4104402,46,0
2020-09-24,4104428,75,0
2020-09-24,4104451,65,1
2020-09-24,4104501,513,3
2020-09-24,4104600,179,0
2020-09-24,4104659,305,5
2020-09-24,4104709,85,1
2020-09-24,4104808,7264,130
2020-09-24,4104907,912,11
2020-09-24,4105003,73,1
2020-09-24,4105102,146,3
2020-09-24,4105201,155,9
2020-09-24,4105300,184,0
2020-09-24,4105409,104,2
2020-09-24,4105508,906,15
2020-09-24,4105607,259,1
2020-09-24,4105706,261,13
2020-09-24,4105805,3315,129
2020-09-24,4105904,307,7
2020-09-24,4106001,24,4
2020-09-24,4106100,56,1
2020-09-24,4106209,172,2
2020-09-24,4106308,305,6
2020-09-24,4106407,472,19
2020-09-24,4106456,221,0
2020-09-24,4106506,135,2
2020-09-24,4106555,61,1
2020-09-24,4106571,98,3
2020-09-24,4106605,124,0
2020-09-24,4106704,30,1
2020-09-24,4106803,39,1
2020-09-24,4106852,44,1
2020-09-24,4106902,35409,1197
2020-09-24,4107009,166,7
2020-09-24,4107108,41,0
2020-09-24,4107124,35,1
2020-09-24,4107157,136,1
2020-09-24,4107207,1242,18
2020-09-24,4107256,36,1
2020-09-24,4107306,29,2
2020-09-24,4107405,134,5
2020-09-24,4107504,182,1
2020-09-24,4107520,10,0
2020-09-24,4107538,10,0
2020-09-24,4107546,22,0
2020-09-24,4107553,6,1
2020-09-24,4107603,194,3
2020-09-24,4107652,2155,67
2020-09-24,4107702,59,0
2020-09-24,4107736,31,1
2020-09-24,4107751,39,1
2020-09-24,4107801,38,3
2020-09-24,4107850,4,0
2020-09-24,4107900,122,2
2020-09-24,4108007,320,6
2020-09-24,4108106,44,0
2020-09-24,4108205,38,3
2020-09-24,4108304,5605,85
2020-09-24,4108320,139,1
2020-09-24,4108403,1230,22
2020-09-24,4108452,113,4
2020-09-24,4108502,58,3
2020-09-24,4108551,3,0
2020-09-24,4108601,115,11
2020-09-24,4108650,18,1
2020-09-24,4108700,63,1
2020-09-24,4108809,232,3
2020-09-24,4108908,62,1
2020-09-24,4108957,25,0
2020-09-24,4109005,57,2
2020-09-24,4109104,26,1
2020-09-24,4109203,93,3
2020-09-24,4109302,138,2
2020-09-24,4109401,620,8
2020-09-24,4109500,43,3
2020-09-24,4109609,639,17
2020-09-24,4109658,21,0
2020-09-24,4109708,298,10
2020-09-24,4109757,70,3
2020-09-24,4109807,1047,14
2020-09-24,4109906,35,1
2020-09-24,4110003,32,0
2020-09-24,4110052,8,0
2020-09-24,4110078,322,4
2020-09-24,4110102,281,9
2020-09-24,4110201,26,0
2020-09-24,4110300,60,1
2020-09-24,4110409,119,0
2020-09-24,4110508,60,2
2020-09-24,4110607,40,1
2020-09-24,4110656,48,1
2020-09-24,4110706,315,9
2020-09-24,4110805,104,4
2020-09-24,4110904,40,2
2020-09-24,4110953,205,2
2020-09-24,4111001,50,2
2020-09-24,4111100,247,10
2020-09-24,4111209,73,1
2020-09-24,4111258,967,19
2020-09-24,4111308,15,0
2020-09-24,4111407,22,0
2020-09-24,4111506,600,14
2020-09-24,4111555,11,0
2020-09-24,4111605,19,1
2020-09-24,4111704,33,0
2020-09-24,4111803,335,3
2020-09-24,4111902,412,8
2020-09-24,4112009,231,6
2020-09-24,4112108,430,7
2020-09-24,4112207,50,6
2020-09-24,4112306,48,0
2020-09-24,4112405,108,0
2020-09-24,4112504,90,5
2020-09-24,4112603,6,0
2020-09-24,4112702,436,5
2020-09-24,4112751,158,6
2020-09-24,4112801,126,1
2020-09-24,4112900,40,0
2020-09-24,4112959,51,1
2020-09-24,4113007,93,2
2020-09-24,4113106,39,0
2020-09-24,4113205,887,10
2020-09-24,4113254,0,0
2020-09-24,4113304,265,1
2020-09-24,4113403,36,1
2020-09-24,4113429,27,1
2020-09-24,4113452,23,0
2020-09-24,4113502,109,2
2020-09-24,4113601,33,0
2020-09-24,4113700,9437,223
2020-09-24,4113734,28,1
2020-09-24,4113759,26,1
2020-09-24,4113809,55,0
2020-09-24,4113908,67,2
2020-09-24,4114005,81,2
2020-09-24,4114104,394,5
2020-09-24,4114203,258,7
2020-09-24,4114302,393,11
2020-09-24,4114351,16,0
2020-09-24,4114401,98,1
2020-09-24,4114500,100,4
2020-09-24,4114609,529,4
2020-09-24,4114708,42,0
2020-09-24,4114807,328,4
2020-09-24,4114906,58,1
2020-09-24,4115002,43,4
2020-09-24,4115101,74,3
2020-09-24,4115200,6937,119
2020-09-24,4115309,58,2
2020-09-24,4115358,30,2
2020-09-24,4115408,175,4
2020-09-24,4115457,15,1
2020-09-24,4115507,55,2
2020-09-24,4115606,641,4
2020-09-24,4115705,331,13
2020-09-24,4115739,7,0
2020-09-24,4115754,293,4
2020-09-24,4115804,964,8
2020-09-24,4115853,28,1
2020-09-24,4115903,22,1
2020-09-24,4116000,21,0
2020-09-24,4116059,181,0
2020-09-24,4116109,128,3
2020-09-24,4116208,430,7
2020-09-24,4116307,73,0
2020-09-24,4116406,70,1
2020-09-24,4116505,1,0
2020-09-24,4116604,42,0
2020-09-24,4116703,145,3
2020-09-24,4116802,16,0
2020-09-24,4116901,336,7
2020-09-24,4116950,81,1
2020-09-24,4117008,52,0
2020-09-24,4117057,49,1
2020-09-24,4117107,146,1
2020-09-24,4117206,49,0
2020-09-24,4117214,57,0
2020-09-24,4117222,66,0
2020-09-24,4117255,111,4
2020-09-24,4117271,35,2
2020-09-24,4117297,24,0
2020-09-24,4117305,414,9
2020-09-24,4117404,23,1
2020-09-24,4117453,77,5
2020-09-24,4117503,649,7
2020-09-24,4117602,149,2
2020-09-24,4117701,129,2
2020-09-24,4117800,23,0
2020-09-24,4117909,843,14
2020-09-24,4118006,55,3
2020-09-24,4118105,48,0
2020-09-24,4118204,3823,81
2020-09-24,4118303,24,0
2020-09-24,4118402,478,15
2020-09-24,4118451,18,0
2020-09-24,4118501,821,16
2020-09-24,4118600,18,2
2020-09-24,4118709,15,0
2020-09-24,4118808,110,4
2020-09-24,4118857,33,1
2020-09-24,4118907,151,3
2020-09-24,4119004,39,4
2020-09-24,4119103,61,2
2020-09-24,4119152,2874,79
2020-09-24,4119202,17,0
2020-09-24,4119251,4,0
2020-09-24,4119301,135,1
2020-09-24,4119400,156,4
2020-09-24,4119509,1946,79
2020-09-24,4119608,201,2
2020-09-24,4119657,20,1
2020-09-24,4119707,22,0
2020-09-24,4119806,269,1
2020-09-24,4119905,3413,87
2020-09-24,4119954,483,12
2020-09-24,4120002,215,1
2020-09-24,4120101,47,1
2020-09-24,4120150,23,1
2020-09-24,4120200,10,0
2020-09-24,4120309,25,1
2020-09-24,4120333,85,3
2020-09-24,4120358,30,1
2020-09-24,4120408,94,2
2020-09-24,4120507,63,2
2020-09-24,4120606,92,1
2020-09-24,4120655,24,0
2020-09-24,4120705,62,3
2020-09-24,4120804,526,12
2020-09-24,4120853,48,0
2020-09-24,4120903,187,8
2020-09-24,4121000,34,0
2020-09-24,4121109,97,5
2020-09-24,4121208,299,7
2020-09-24,4121257,129,1
2020-09-24,4121307,39,2
2020-09-24,4121356,6,0
2020-09-24,4121406,124,2
2020-09-24,4121505,29,3
2020-09-24,4121604,91,2
2020-09-24,4121703,194,6
2020-09-24,4121752,47,0
2020-09-24,4121802,20,1
2020-09-24,4121901,224,11
2020-09-24,4122008,43,0
2020-09-24,4122107,15,1
2020-09-24,4122156,102,0
2020-09-24,4122172,36,0
2020-09-24,4122206,835,24
2020-09-24,4122305,366,12
2020-09-24,4122404,1277,36
2020-09-24,4122503,72,2
2020-09-24,4122602,109,2
2020-09-24,4122651,18,0
2020-09-24,4122701,123,2
2020-09-24,4122800,22,0
2020-09-24,4122909,55,2
2020-09-24,4123006,165,4
2020-09-24,4123105,8,1
2020-09-24,4123204,43,4
2020-09-24,4123303,32,1
2020-09-24,4123402,123,3
2020-09-24,4123501,397,9
2020-09-24,4123600,32,0
2020-09-24,4123709,64,3
2020-09-24,4123808,42,2
2020-09-24,4123824,29,0
2020-09-24,4123857,13,1
2020-09-24,4123907,188,13
2020-09-24,4123956,9,1
2020-09-24,4124004,29,2
2020-09-24,4124020,131,4
2020-09-24,4124053,384,7
2020-09-24,4124103,325,7
2020-09-24,4124202,24,1
2020-09-24,4124301,15,0
2020-09-24,4124400,101,1
2020-09-24,4124509,169,2
2020-09-24,4124608,19,0
2020-09-24,4124707,39,1
2020-09-24,4124806,124,2
2020-09-24,4124905,50,1
2020-09-24,4125001,160,4
2020-09-24,4125100,13,0
2020-09-24,4125209,175,1
2020-09-24,4125308,44,2
2020-09-24,4125357,43,0
2020-09-24,4125407,86,5
2020-09-24,4125456,38,2
2020-09-24,4125506,3515,150
2020-09-24,4125555,29,1
2020-09-24,4125605,246,6
2020-09-24,4125704,499,4
2020-09-24,4125753,79,0
2020-09-24,4125803,149,7
2020-09-24,4125902,9,0
2020-09-24,4126009,120,6
2020-09-24,4126108,80,1
2020-09-24,4126207,40,3
2020-09-24,4126256,1050,13
2020-09-24,4126272,65,1
2020-09-24,4126306,142,5
2020-09-24,4126355,124,0
2020-09-24,4126405,35,1
2020-09-24,4126504,240,4
2020-09-24,4126603,106,8
