date,z,c,d
2020-07-08,4104808,3430,60
2020-07-08,4106902,6692,188
2020-07-08,4113700,1773,88
2020-07-08,4115200,1431,19
2020-07-08,4118204,725,12
2020-07-08,4119152,679,12
2020-07-08,4125506,680,38
2020-07-08,4127700,1049,18
2020-07-07,4104808,3430,60
2020-07-07,4106902,6692,188
2020-07-07,4113700,1773,88
2020-07-07,4115200,1431,19
2020-07-07,4118204,725,12
2020-07-07,4119152,679,12
2020-07-07,4125506,680,38
2020-07-07,4127700,1049,18
2020-07-06,4104808,3357,59
2020-07-06,4106902,6443,181
2020-07-06,4113700,1700,85
2020-07-06,4115200,1406,19
2020-07-06,4118204,683,12
2020-07-06,4119152,669,11
2020-07-06,4125506,647,38
2020-07-06,4127700,1005,18
2020-07-05,4104808,3329,56
2020-07-05,4106902,5828,168
2020-07-05,4113700,1615,84
2020-07-05,4115200,1396,18
2020-07-05,4118204,588,10
2020-07-05,4119152,544,10
2020-07-05,4125506,603,35
2020-07-05,4127700,975,16
2020-07-04,4104808,3329,56
2020-07-04,4106902,5828,168
2020-07-04,4113700,1615,84
2020-07-04,4115200,1396,18
2020-07-04,4118204,588,10
2020-07-04,4119152,544,10
2020-07-04,4125506,603,35
2020-07-04,4127700,975,16
2020-07-03,4104808,3272,54
2020-07-03,4106902,5154,164
2020-07-03,4113700,1512,80
2020-07-03,4115200,1371,18
2020-07-03,4118204,441,9
2020-07-03,4119152,516,10
2020-07-03,4125506,553,31
2020-07-03,4127700,913,16
2020-07-02,4104808,3134,52
2020-07-02,4106902,4828,160
2020-07-02,4113700,1455,78
2020-07-02,4115200,1332,18
2020-07-02,4118204,415,6
2020-07-02,4119152,450,9
2020-07-02,4125506,510,30
2020-07-02,4127700,879,16
2020-07-01,4104808,2962,49
2020-07-01,4106902,4454,145
2020-07-01,4113700,1414,77
2020-07-01,4115200,1210,18
2020-07-01,4118204,382,6
2020-07-01,4119152,414,9
2020-07-01,4125506,449,29
2020-07-01,4127700,779,14
2020-06-30,4104808,2828,46
2020-06-30,4106902,4115,145
2020-06-30,4113700,1396,76
2020-06-30,4115200,1162,18
2020-06-30,4118204,319,6
2020-06-30,4119152,388,9
2020-06-30,4125506,408,27
2020-06-30,4127700,737,12
2020-06-29,4104808,2601,44
2020-06-29,4106902,3874,139
2020-06-29,4113700,1359,73
2020-06-29,4115200,1148,16
2020-06-29,4118204,312,6
2020-06-29,4119152,374,9
2020-06-29,4125506,365,26
2020-06-29,4127700,656,9
2020-06-28,4104808,2601,43
2020-06-28,4106902,3696,134
2020-06-28,4113700,1355,73
2020-06-28,4115200,1142,15
2020-06-28,4118204,270,5
2020-06-28,4119152,353,9
2020-06-28,4125506,341,26
2020-06-28,4127700,655,9
2020-06-27,4104808,2477,35
2020-06-27,4106902,3438,129
2020-06-27,4113700,1308,71
2020-06-27,4115200,1034,15
2020-06-27,4118204,263,5
2020-06-27,4119152,345,9
2020-06-27,4125506,334,25
2020-06-27,4127700,641,9
2020-06-26,4104808,2432,35
2020-06-26,4106902,3208,128
2020-06-26,4113700,1253,71
2020-06-26,4115200,1019,15
2020-06-26,4118204,231,5
2020-06-26,4119152,326,9
2020-06-26,4125506,322,24
2020-06-26,4127700,579,9
2020-06-25,4104808,2246,34
2020-06-25,4106902,3093,122
2020-06-25,4113700,1233,63
2020-06-25,4115200,900,15
2020-06-25,4118204,220,5
2020-06-25,4119152,320,9
2020-06-25,4125506,315,24
2020-06-25,4127700,567,9
2020-06-24,4104808,2114,32
2020-06-24,4106902,2968,120
2020-06-24,4113700,1186,61
2020-06-24,4115200,872,15
2020-06-24,4118204,211,5
2020-06-24,4119152,280,9
2020-06-24,4125506,307,21
2020-06-24,4127700,552,6
2020-06-23,4104808,1904,32
2020-06-23,4106902,2757,117
2020-06-23,4113700,1126,61
2020-06-23,4115200,855,13
2020-06-23,4118204,190,5
2020-06-23,4119152,264,8
2020-06-23,4125506,298,20
2020-06-23,4127700,496,6
2020-06-22,4104808,1813,31
2020-06-22,4106902,2666,110
2020-06-22,4113700,1108,59
2020-06-22,4115200,763,11
2020-06-22,4118204,162,5
2020-06-22,4119152,255,7
2020-06-22,4125506,283,18
2020-06-22,4127700,442,4
2020-06-21,4104808,1751,31
2020-06-21,4106902,2487,103
2020-06-21,4113700,1095,58
2020-06-21,4115200,722,11
2020-06-21,4118204,162,5
2020-06-21,4119152,238,7
2020-06-21,4125506,281,16
2020-06-21,4127700,430,4
2020-06-20,4104808,1714,28
2020-06-20,4106902,2375,99
2020-06-20,4113700,1057,56
2020-06-20,4115200,712,11
2020-06-20,4118204,161,4
2020-06-20,4119152,227,7
2020-06-20,4125506,267,16
2020-06-20,4127700,397,4
2020-06-19,4104808,1520,26
2020-06-19,4106902,2253,98
2020-06-19,4113700,1026,56
2020-06-19,4115200,673,11
2020-06-19,4118204,160,4
2020-06-19,4119152,224,7
2020-06-19,4125506,260,16
2020-06-19,4127700,365,4
2020-06-18,4104808,1327,25
2020-06-18,4106902,2060,95
2020-06-18,4113700,982,52
2020-06-18,4115200,558,11
2020-06-18,4118204,133,4
2020-06-18,4119152,216,6
2020-06-18,4125506,250,15
2020-06-18,4127700,336,3
2020-06-17,4104808,1189,23
2020-06-17,4106902,1945,90
2020-06-17,4113700,946,48
2020-06-17,4115200,496,11
2020-06-17,4118204,130,4
2020-06-17,4119152,181,5
2020-06-17,4125506,234,13
2020-06-17,4127700,306,2
2020-06-16,4104808,1108,18
2020-06-16,4106902,1898,83
2020-06-16,4113700,925,47
2020-06-16,4115200,452,11
2020-06-16,4118204,129,4
2020-06-16,4119152,177,5
2020-06-16,4125506,227,12
2020-06-16,4127700,284,2
2020-06-15,4104808,1048,15
2020-06-15,4106902,1770,79
2020-06-15,4113700,880,43
2020-06-15,4115200,386,11
2020-06-15,4118204,114,4
2020-06-15,4119152,166,5
2020-06-15,4125506,219,12
2020-06-15,4127700,236,2
2020-06-14,4104808,1039,15
2020-06-14,4106902,1736,78
2020-06-14,4113700,865,41
2020-06-14,4115200,386,11
2020-06-14,4118204,111,4
2020-06-14,4119152,160,5
2020-06-14,4125506,212,12
2020-06-14,4127700,235,2
2020-06-13,4104808,1026,15
2020-06-13,4106902,1676,76
2020-06-13,4113700,819,35
2020-06-13,4115200,368,11
2020-06-13,4118204,96,4
2020-06-13,4119152,160,5
2020-06-13,4125506,206,11
2020-06-13,4127700,233,2
2020-06-12,4104808,975,13
2020-06-12,4106902,1579,75
2020-06-12,4113700,768,33
2020-06-12,4115200,327,11
2020-06-12,4118204,96,4
2020-06-12,4119152,148,4
2020-06-12,4125506,194,10
2020-06-12,4127700,191,2
2020-06-11,4104808,930,11
2020-06-11,4106902,1541,67
2020-06-11,4113700,752,33
2020-06-11,4115200,319,11
2020-06-11,4118204,89,4
2020-06-11,4119152,146,4
2020-06-11,4125506,175,10
2020-06-11,4127700,190,2
2020-06-10,4104808,889,11
2020-06-10,4106902,1420,67
2020-06-10,4113700,719,33
2020-06-10,4115200,289,11
2020-06-10,4118204,83,4
2020-06-10,4119152,137,4
2020-06-10,4125506,163,10
2020-06-10,4127700,160,2
2020-06-09,4104808,822,11
2020-06-09,4106902,1357,62
2020-06-09,4113700,674,33
2020-06-09,4115200,266,11
2020-06-09,4118204,82,4
2020-06-09,4119152,134,4
2020-06-09,4125506,152,8
2020-06-09,4127700,110,2
2020-06-08,4104808,760,10
2020-06-08,4106902,1322,58
2020-06-08,4113700,612,33
2020-06-08,4115200,252,11
2020-06-08,4118204,80,4
2020-06-08,4119152,132,4
2020-06-08,4125506,148,8
2020-06-08,4127700,103,2
2020-06-07,4104808,756,10
2020-06-07,4106902,1312,57
2020-06-07,4113700,603,31
2020-06-07,4115200,245,10
2020-06-07,4118204,80,4
2020-06-07,4119152,128,4
2020-06-07,4125506,141,8
2020-06-07,4127700,100,2
2020-06-06,4104808,742,10
2020-06-06,4106902,1264,54
2020-06-06,4113700,589,31
2020-06-06,4115200,240,10
2020-06-06,4118204,73,4
2020-06-06,4119152,124,4
2020-06-06,4125506,138,7
2020-06-06,4127700,73,2
2020-06-05,4104808,690,10
2020-06-05,4106902,1230,55
2020-06-05,4113700,570,30
2020-06-05,4115200,212,10
2020-06-05,4118204,71,4
2020-06-05,4119152,121,4
2020-06-05,4125506,136,5
2020-06-05,4127700,71,2
2020-06-04,4104808,621,9
2020-06-04,4106902,1143,53
2020-06-04,4113700,521,29
2020-06-04,4115200,199,9
2020-06-04,4118204,71,4
2020-06-04,4119152,103,4
2020-06-04,4125506,127,5
2020-06-04,4127700,49,1
2020-06-03,4104808,586,8
2020-06-03,4106902,1099,53
2020-06-03,4113700,491,28
2020-06-03,4115200,190,9
2020-06-03,4118204,64,4
2020-06-03,4119152,99,3
2020-06-03,4125506,123,5
2020-06-03,4127700,39,1
2020-06-02,4104808,523,8
2020-06-02,4106902,1028,51
2020-06-02,4113700,461,27
2020-06-02,4115200,177,6
2020-06-02,4118204,63,4
2020-06-02,4119152,91,3
2020-06-02,4125506,112,5
2020-06-02,4127700,36,1
2020-06-01,4104808,460,7
2020-06-01,4106902,1005,49
2020-06-01,4113700,430,24
2020-06-01,4115200,165,6
2020-06-01,4118204,63,4
2020-06-01,4119152,87,3
2020-06-01,4125506,106,5
2020-06-01,4127700,28,1
2020-05-31,4104808,460,7
2020-05-31,4106902,984,47
2020-05-31,4113700,423,24
2020-05-31,4115200,164,6
2020-05-31,4118204,62,4
2020-05-31,4119152,81,3
2020-05-31,4125506,104,4
2020-05-31,4127700,26,0
2020-05-30,4104808,448,7
2020-05-30,4106902,945,47
2020-05-30,4113700,415,23
2020-05-30,4115200,159,6
2020-05-30,4118204,54,4
2020-05-30,4119152,81,3
2020-05-30,4125506,99,4
2020-05-30,4127700,26,0
2020-05-29,4104808,407,7
2020-05-29,4106902,921,42
2020-05-29,4113700,375,21
2020-05-29,4115200,156,6
2020-05-29,4118204,54,4
2020-05-29,4119152,74,3
2020-05-29,4125506,97,4
2020-05-29,4127700,22,0
2020-05-28,4104808,365,7
2020-05-28,4106902,904,39
2020-05-28,4113700,349,21
2020-05-28,4115200,140,6
2020-05-28,4118204,46,4
2020-05-28,4119152,70,3
2020-05-28,4125506,86,4
2020-05-28,4127700,19,0
2020-05-27,4104808,317,7
2020-05-27,4106902,852,37
2020-05-27,4113700,334,21
2020-05-27,4115200,134,6
2020-05-27,4118204,46,4
2020-05-27,4119152,62,3
2020-05-27,4125506,77,4
2020-05-27,4127700,18,0
2020-05-26,4104808,286,7
2020-05-26,4106902,816,37
2020-05-26,4113700,317,20
2020-05-26,4115200,118,6
2020-05-26,4118204,44,4
2020-05-26,4119152,58,3
2020-05-26,4125506,75,4
2020-05-26,4127700,16,0
2020-05-25,4104808,242,6
2020-05-25,4106902,790,36
2020-05-25,4113700,307,20
2020-05-25,4115200,108,6
2020-05-25,4118204,44,4
2020-05-25,4119152,55,3
2020-05-25,4125506,73,4
2020-05-25,4127700,15,0
2020-05-24,4104808,220,6
2020-05-24,4106902,778,36
2020-05-24,4113700,279,20
2020-05-24,4115200,108,6
2020-05-24,4118204,44,4
2020-05-24,4119152,54,3
2020-05-24,4125506,72,4
2020-05-24,4127700,15,0
2020-05-23,4104808,210,6
2020-05-23,4106902,751,36
2020-05-23,4113700,264,20
2020-05-23,4115200,106,6
2020-05-23,4118204,44,4
2020-05-23,4119152,51,3
2020-05-23,4125506,69,4
2020-05-23,4127700,15,0
2020-05-22,4104808,195,6
2020-05-22,4106902,728,35
2020-05-22,4113700,226,19
2020-05-22,4115200,102,6
2020-05-22,4118204,44,4
2020-05-22,4119152,51,3
2020-05-22,4125506,65,4
2020-05-22,4127700,12,0
2020-05-21,4104808,175,6
2020-05-21,4106902,711,35
2020-05-21,4113700,209,18
2020-05-21,4115200,101,6
2020-05-21,4118204,43,3
2020-05-21,4119152,51,3
2020-05-21,4125506,60,4
2020-05-21,4127700,12,0
2020-05-20,4104808,166,6
2020-05-20,4106902,677,34
2020-05-20,4113700,175,18
2020-05-20,4115200,96,6
2020-05-20,4118204,41,3
2020-05-20,4119152,47,2
2020-05-20,4125506,53,4
2020-05-20,4127700,9,0
2020-05-19,4104808,148,5
2020-05-19,4106902,648,34
2020-05-19,4113700,162,17
2020-05-19,4115200,92,6
2020-05-19,4118204,41,3
2020-05-19,4119152,41,2
2020-05-19,4125506,52,4
2020-05-19,4127700,8,0
2020-05-18,4104808,139,5
2020-05-18,4106902,642,34
2020-05-18,4113700,138,16
2020-05-18,4115200,92,6
2020-05-18,4118204,34,3
2020-05-18,4119152,41,2
2020-05-18,4125506,49,4
2020-05-18,4127700,7,0
2020-05-17,4104808,138,5
2020-05-17,4106902,639,33
2020-05-17,4113700,134,16
2020-05-17,4115200,92,6
2020-05-17,4118204,29,3
2020-05-17,4119152,40,2
2020-05-17,4125506,48,3
2020-05-17,4127700,3,0
2020-05-16,4104808,136,5
2020-05-16,4106902,629,33
2020-05-16,4113700,131,15
2020-05-16,4115200,84,6
2020-05-16,4118204,27,3
2020-05-16,4119152,40,2
2020-05-16,4125506,48,3
2020-05-16,4127700,3,0
2020-05-15,4104808,114,5
2020-05-15,4106902,607,32
2020-05-15,4113700,125,15
2020-05-15,4115200,81,6
2020-05-15,4118204,25,3
2020-05-15,4119152,39,2
2020-05-15,4125506,47,3
2020-05-15,4127700,2,0
2020-05-14,4104808,108,5
2020-05-14,4106902,582,31
2020-05-14,4113700,125,15
2020-05-14,4115200,78,6
2020-05-14,4118204,25,2
2020-05-14,4119152,37,2
2020-05-14,4125506,46,3
2020-05-14,4127700,2,0
2020-05-13,4104808,103,5
2020-05-13,4106902,571,30
2020-05-13,4113700,122,15
2020-05-13,4115200,76,6
2020-05-13,4118204,20,2
2020-05-13,4119152,36,2
2020-05-13,4125506,44,3
2020-05-13,4127700,2,0
2020-05-12,4104808,97,5
2020-05-12,4106902,557,29
2020-05-12,4113700,120,15
2020-05-12,4115200,64,6
2020-05-12,4118204,18,2
2020-05-12,4119152,32,2
2020-05-12,4125506,37,3
2020-05-12,4127700,2,0
2020-05-11,4104808,95,4
2020-05-11,4106902,554,29
2020-05-11,4113700,114,15
2020-05-11,4115200,63,6
2020-05-11,4118204,18,2
2020-05-11,4119152,32,2
2020-05-11,4125506,29,2
2020-05-11,4127700,2,0
2020-05-10,4104808,95,4
2020-05-10,4106902,553,29
2020-05-10,4113700,114,14
2020-05-10,4115200,63,6
2020-05-10,4118204,17,2
2020-05-10,4119152,32,2
2020-05-10,4125506,29,2
2020-05-10,4127700,2,0
2020-05-09,4104808,91,4
2020-05-09,4106902,541,29
2020-05-09,4113700,112,14
2020-05-09,4115200,63,6
2020-05-09,4118204,17,2
2020-05-09,4119152,29,2
2020-05-09,4125506,27,1
2020-05-09,4127700,2,0
2020-05-08,4104808,86,4
2020-05-08,4106902,514,28
2020-05-08,4113700,110,14
2020-05-08,4115200,63,6
2020-05-08,4118204,16,2
2020-05-08,4119152,28,2
2020-05-08,4125506,26,1
2020-05-08,4127700,2,0
2020-05-07,4104808,86,4
2020-05-07,4106902,506,27
2020-05-07,4113700,109,14
2020-05-07,4115200,63,6
2020-05-07,4118204,16,2
2020-05-07,4119152,25,2
2020-05-07,4125506,25,1
2020-05-07,4127700,2,0
2020-05-06,4104808,86,4
2020-05-06,4106902,500,26
2020-05-06,4113700,109,14
2020-05-06,4115200,63,5
2020-05-06,4118204,16,2
2020-05-06,4119152,24,2
2020-05-06,4125506,25,1
2020-05-06,4127700,2,0
2020-05-05,4104808,86,4
2020-05-05,4106902,491,26
