Country,CountryCode,Slug,NewConfirmed,TotalConfirmed,NewDeaths,TotalDeaths,NewRecovered,TotalRecovered,Date
Brazil,BR,brazil,9167,156061,639,10656,2388,61685,2020-05-10T20:55:08Z
Brazil,BR,brazil,6638,162699,467,11123,3272,64957,2020-05-11T05:21:07Z
Brazil,BR,brazil,6895,169594,530,11653,2427,67384,2020-05-12T06:05:33Z
Brazil,BR,brazil,8620,178214,808,12461,5213,72597,2020-05-13T06:26:03Z
Brazil,BR,brazil,11923,190137,779,13240,5827,78424,2020-05-14T04:32:03Z
Brazil,BR,brazil,13028,203165,759,13999,1055,79479,2020-05-15T03:41:51Z
Brazil,BR,brazil,17126,220291,963,14962,5491,84970,2020-05-16T03:07:18Z
Brazil,BR,brazil,13220,233511,700,15662,4702,89672,2020-05-17T03:57:42Z
Brazil,BR,brazil,7569,241080,456,16118,4450,94122,2020-05-18T03:16:33Z
Brazil,BR,brazil,14288,255368,735,16853,6337,100459,2020-05-19T04:10:44Z
Brazil,BR,brazil,16517,271885,1130,17983,6335,106794,2020-05-20T05:03:15Z
Brazil,BR,brazil,19694,291579,876,18859,9889,116683,2020-05-21T04:58:44Z
Brazil,BR,brazil,18508,310087,1188,20047,9277,125960,2020-05-22T03:48:38Z
Brazil,BR,brazil,20803,330890,1001,21048,9470,135430,2020-05-23T04:12:39Z
Brazil,BR,brazil,16508,347398,965,22013,7157,142587,2020-05-24T04:24:35Z
Brazil,BR,brazil,15813,363211,653,22666,7324,149911,2020-05-25T05:07:36Z
Brazil,BR,brazil,11687,374898,807,23473,3922,153833,2020-05-26T04:46:00Z
Brazil,BR,brazil,16324,391222,1039,24512,4760,158593,2020-05-27T05:04:13Z
Brazil,BR,brazil,20599,411821,1086,25598,8054,166647,2020-05-28T05:18:13Z
Brazil,BR,brazil,26417,438238,1156,26754,10957,177604,2020-05-29T04:14:25Z
Brazil,BR,brazil,26928,465166,1124,27878,11872,189476,2020-05-30T04:54:12Z
Brazil,BR,brazil,33274,498440,956,28834,11416,200892,2020-05-31T04:17:48Z
Brazil,BR,brazil,16409,514849,480,29314,5663,206555,2020-06-01T05:01:46Z
Brazil,BR,brazil,11598,526447,623,29937,4525,211080,2020-06-02T03:35:13Z
Brazil,BR,brazil,28936,555383,1262,31199,12558,223638,2020-06-03T03:36:25Z
Brazil,BR,brazil,28633,584016,1349,32548,14979,238617,2020-06-04T03:35:30Z
Brazil,BR,brazil,30925,614941,1473,34021,16346,254963,2020-06-05T03:06:19Z
Brazil,BR,brazil,57905,672846,1909,35930,277149,277149,2020-06-07T04:35:37Z
Brazil,BR,brazil,18912,691758,525,36455,6803,283952,2020-06-08T05:17:51Z
Brazil,BR,brazil,15654,707412,679,37134,94305,378257,2020-06-09T04:27:53Z
Brazil,BR,brazil,32091,739503,1272,38406,18480,396737,2020-06-10T06:11:11Z
Brazil,BR,brazil,32913,772416,1274,39680,17179,413916,2020-06-11T04:42:47Z
Brazil,BR,brazil,30412,802828,1239,40919,16049,429965,2020-06-12T05:26:36Z
