NewConfirmed,TotalConfirmed,NewDeaths,TotalDeaths,NewRecovered,TotalRecovered,Date
112797,5399508,6154,362859,53574,1374979,2020-05-10T20:55:08Z
96234,5495742,3960,366819,33350,1408329,2020-05-11T05:21:07Z
98580,5498088,4296,367155,33350,1408329,2020-05-11T08:23:13Z
93303,5591382,4650,371805,47229,1455558,2020-05-12T06:05:33Z
95649,5593728,4898,372053,47229,1455558,2020-05-12T09:07:55Z
107108,5700779,7496,379549,39651,1495209,2020-05-13T06:26:03Z
85420,4333463,5803,297231,39651,1495209,2020-05-13T16:31:49Z
84287,4417730,5130,302355,55133,1547896,2020-05-14T04:32:03Z
86585,4420028,5380,302605,55133,1547896,2020-05-14T05:11:42Z
93933,4513796,5054,307659,39346,1587242,2020-05-15T03:41:51Z
96359,4516222,5388,307993,39346,1587242,2020-05-15T06:43:39Z
99006,4615227,5161,313154,49174,1636416,2020-05-16T03:07:18Z
101362,4617583,5335,313328,49174,1636416,2020-05-16T03:43:39Z
90474,4708057,3994,317322,56138,1692554,2020-05-17T03:57:42Z
92968,4710551,4236,317564,56138,1692554,2020-05-17T04:04:25Z
80678,4791229,3507,321071,40774,1733320,2020-05-18T03:16:33Z
87244,4878473,3240,324311,52912,1786224,2020-05-19T04:10:44Z
89402,4880631,3354,324425,52912,1786224,2020-05-19T07:33:02Z
96840,4977471,5089,329513,52120,1838344,2020-05-20T05:03:15Z
98417,5075679,4708,334004,209244,1897212,2020-05-21T04:58:44Z
100581,5077843,4952,334248,209244,1897212,2020-05-21T08:00:55Z
104889,5182213,4692,338940,51273,1948088,2020-05-22T03:48:38Z
107223,5184547,4926,339174,51273,1948088,2020-05-22T05:46:55Z
107188,5291631,5143,344317,107904,2055992,2020-05-23T04:12:39Z
109598,5294041,5329,344503,107904,2055992,2020-05-23T06:54:36Z
98341,5392382,3831,348334,55542,2111534,2020-05-24T04:24:35Z
100749,5394790,4043,348546,55542,2111534,2020-05-24T08:07:30Z
98206,5492996,3030,351576,56379,2167913,2020-05-25T05:07:36Z
86807,5579803,2972,354548,63212,2231124,2020-05-26T04:46:00Z
88833,5581829,3214,354790,63212,2231124,2020-05-26T07:48:23Z
93814,5675271,4123,356993,55218,2286305,2020-05-27T05:04:13Z
95756,5677213,4319,357189,55218,2286305,2020-05-27T08:27:25Z
103063,5780056,5299,362488,63132,2349437,2020-05-28T05:18:13Z
116222,5896278,4573,367061,65964,2415401,2020-05-29T04:14:25Z
118196,5898252,4785,367273,65964,2415401,2020-05-29T05:02:01Z
114396,6012595,4478,371751,77575,2492884,2020-05-30T04:54:12Z
116262,6014461,4640,371913,77575,2492884,2020-05-30T07:36:23Z
133970,6148431,4163,376076,71158,2564042,2020-05-31T04:17:48Z
135514,6149975,4355,376268,71158,2564042,2020-05-31T07:20:35Z
107131,6257106,2694,378962,76636,2640678,2020-06-01T05:01:46Z
108727,6258702,3124,379392,76636,2640678,2020-06-01T07:44:23Z
98437,6357139,3499,382891,54680,2695358,2020-06-02T03:35:13Z
100055,6358757,3559,382951,54680,2695358,2020-06-02T06:02:44Z
113618,6472375,4766,387712,62110,2757468,2020-06-03T03:36:25Z
125837,6597314,5595,393307,75467,2804343,2020-06-04T03:35:30Z
127199,6598676,5797,393509,75467,2804343,2020-06-04T04:05:27Z
202908,6727533,5327,398836,65281,2869612,2020-06-05T03:06:19Z
100425,6827958,3678,402514,131192,3000504,2020-06-06T03:14:50Z
101781,6829314,3800,402636,131192,3000504,2020-06-06T04:15:14Z
156597,6985911,4772,407408,339641,3085182,2020-06-07T04:35:37Z
157653,6986967,4916,407552,339641,3085182,2020-06-07T05:12:15Z
117149,7104116,2985,410536,55087,3140269,2020-06-08T05:17:51Z
118555,7105522,3039,410590,55087,3140269,2020-06-08T08:08:47Z
109895,7215417,3825,414415,152647,3292916,2020-06-09T04:27:53Z
123302,7338719,202852,617267,82260,3375017,2020-06-10T06:11:11Z
124338,7339755,4974,419389,82260,3375017,2020-06-10T08:13:18Z
